user_id,name,review_count,yelping_since,fans,average_stars,correo
vALpp2IgoeeyiRoH1qRMuQ,Melony,666,2010-06-13 14:58:56,165,3.94,melony19124@gmail.com
802Wrbf7_fZ6aBZQKelc4A,Holly,39,2009-10-02 02:05:05,3,4.28,holly21298@gmail.com
pRwSr0-jI-OkflYkRdKfBQ,Diane,641,2010-01-09 18:45:51,19,3.74,diane21640@gmail.com
t85b2OBlHk0GCwYLhhFlmw,Jill,25,2011-02-15 16:03:43,0,4.32,jill21664@gmail.com
sa7I1ZROWTfunqi4bLAUgw,Megan,112,2009-10-04 15:52:05,7,3.7,megan21758@gmail.com
CIr5Br387yZGV7JU4WqbYQ,Erica,55,2012-06-30 19:58:18,3,4.67,erica21837@gmail.com
p2EDlpTnhPiCIkQVrSuGLw,Jennifer,12,2012-06-24 18:29:04,0,4.08,jennifer22791@gmail.com
9Kr8dO1U7-52UVrhD-nXXw,Ciji,24,2010-09-18 16:48:55,2,3.31,ciji22803@gmail.com
mGUYWSFpmVvDQTLDvkzk4w,Debi,148,2009-05-30 21:18:03,3,3.53,debi22821@gmail.com
LzQekJ42ypri_tGH_0sjtA,Elen,32,2011-09-26 14:44:30,0,4.94,elen22836@gmail.com
rTOLj63bMRn9ragmfMzOeA,Charlie,482,2011-02-02 01:29:46,47,3.98,charlie23456@gmail.com
qiYB7TorQIlYLSNQCORK6A,Kristen,563,2012-07-02 17:30:22,26,4.44,kristen23518@gmail.com
PJBF-bqE7Qa35LsV1unUmA,Shelley,276,2011-10-14 20:24:19,11,4.59,shelley23576@gmail.com
muQYgWSZz3LwzuKYD4OwkQ,Suzi,86,2009-05-27 06:22:21,8,4.2,suzi23585@gmail.com
5p_PfIwR1tkSwG1GMEQFTQ,Tara,59,2008-05-29 20:07:44,1,3.1,tara23662@gmail.com
Qv0VgDsuU0VitzCF15jadQ,Jennifer,13,2011-07-15 18:15:36,0,4.77,jennifer23737@gmail.com
bfpdkDQfWjWoJRAsbtfATQ,Alicia,566,2011-03-26 00:35:23,101,4.05,alicia23812@gmail.com
S2ljhPVQb8wxIN98j0Stcw,Vanessa,34,2011-04-12 08:24:41,4,4.11,vanessa24169@gmail.com
6TaJ-5WZSw4h7vbxgRakCg,Abby,18,2011-03-10 15:47:21,0,4.11,abby24280@gmail.com
BhetfbS0jjIcrTwH7aScNQ,Eva,213,2011-05-24 19:17:38,2,3.86,eva24518@gmail.com
ZJsPZP3W1iufUneYF0sfWA,Rashonna,264,2013-06-23 14:22:51,10,4.34,rashonna24769@gmail.com
CaVEy7kpASLwNBGymLwhgw,Crystal,603,2012-09-27 10:34:52,76,4.14,crystal24987@gmail.com
bQUHcm-woK4VmHybC04Zjw,Jodi,141,2011-08-18 17:45:18,2,4.08,jodi25035@gmail.com
c2I-wuSbWhtxmKj0lKTgxQ,Shellie,671,2010-06-25 12:13:51,65,3.69,shellie25227@gmail.com
fen9BWC39ul9SJZfQ-onpg,Mel,450,2009-07-06 19:30:04,93,3.87,mel25457@gmail.com
_HHcw4AlCmdkjWgBDsZFwg,Bethany,88,2010-01-27 15:37:25,5,3.41,bethany25693@gmail.com
1vkZELGAXYHmTZa6krJB9g,Annie,86,2012-11-15 23:41:07,3,3.87,annie25834@gmail.com
uKKlENg7gUHID4OLbzMuGQ,Tracey,145,2009-01-07 00:28:37,6,3.61,tracey25888@gmail.com
mDvmjD2h-rMulOEpVN8Z1w,Erin Elizabeth,67,2010-08-20 01:34:45,2,3.66,erin elizabeth25906@gmail.com
Wn0Mb_yEy9qvS9TRmXvOCQ,Brittany,78,2010-02-05 22:05:30,1,3.25,brittany25960@gmail.com
OdEaOuyA6bI_0cErziGAKg,Saron,267,2011-08-26 18:17:55,23,4.32,saron26054@gmail.com
1sA4O76JHK6c0_mhiidX3g,A,111,2011-06-17 02:37:49,1,3.24,a26137@gmail.com
ea3HFxRRo4gZOmlDle8IPA,Sanita,501,2011-04-14 04:17:51,53,3.52,sanita26502@gmail.com
QSNzozwTwY9UU3QNvf-3jA,Ali,701,2012-05-25 10:24:35,57,3.91,ali26948@gmail.com
---2PmXbF47D870stH1jqA,Susan,36,2012-10-24 13:20:46,3,4.98,susan27105@gmail.com
GKDBQxitZ14_rN4jPWT5jg,Katherine,87,2011-07-16 15:53:41,8,3.96,katherine27241@gmail.com
DL1WS6qn0vFWCqtYi-TskQ,N,41,2012-07-20 18:05:47,0,4.16,n27424@gmail.com
4lncxGkGCOHp1yEH38qAug,Elizabeth,39,2011-10-01 17:55:54,3,4.34,elizabeth27564@gmail.com
MOLgSNgnkYktFbXrwchbdg,Natasha,268,2012-11-20 01:24:35,34,4.13,natasha27966@gmail.com
6YxQ_Jt57rJ-37We2X2WlA,Cathy,22,2012-01-03 17:53:31,2,3.55,cathy27969@gmail.com
9nep_HxlB-VrG6nvtSWK-A,Miranda,49,2011-01-16 01:05:11,2,3.98,miranda27977@gmail.com
cdAY9c1zFbqV62svbao5Jw,Rusty,184,2012-06-02 19:07:17,3,4.15,rusty28056@gmail.com
wn0rOmUIwdLidAEOJGpRiA,Makenna,45,2009-09-18 01:39:28,1,4.67,makenna28742@gmail.com
PTX3ps_kEII6VnHPXz2qAg,Claire,412,2011-07-16 17:46:01,102,4.14,claire28868@gmail.com
ZbnY-PuChbmCpj5Egi0I4Q,Todd,91,2011-03-11 17:26:49,0,3.25,todd28913@gmail.com
-VEtbIa3yjvCeQtFknf5dA,Stephanie,81,2008-10-17 22:08:30,2,4.05,stephanie29296@gmail.com
l86sAQuWCbj9_4Yj9y5Vlg,Danielle,17,2012-09-25 16:12:58,0,4.29,danielle29512@gmail.com
2XBgqik3c0yC30zAztGhmQ,Andrea,325,2012-01-18 03:19:12,25,3.81,andrea30341@gmail.com
J06FSIiBAYknk9N1J_hjRA,Tonii,85,2010-11-06 22:17:06,1,3.05,tonii30810@gmail.com
aZwv23JkX2aECnWsN-ocBQ,Darnell,136,2010-02-19 09:42:29,12,4.38,darnell31339@gmail.com
9MUXHC3CImxI1Uv3UtCoMw,Kim,91,2010-12-20 14:59:33,6,3.88,kim31444@gmail.com
OHVveKFuwDtqbO610mmXCw,Alejandra,19,2012-07-24 04:06:11,1,3.32,alejandra31708@gmail.com
6ogYJ0jztqMrxAhhslQnzg,Kristen,306,2012-10-15 01:57:45,9,4.18,kristen32116@gmail.com
-kLVfaJytOJY2-QdQoCcNQ,Christina,1454,2012-10-08 01:25:31,669,4.21,christina32339@gmail.com
TPLXbNmevYbD7nd8ZLuFMg,Shayna,5,2011-05-11 04:46:17,0,4.0,shayna32343@gmail.com
OhUj0ZasPiGoOZoDmElFSg,Kitty,91,2011-07-28 01:38:45,0,4.34,kitty32400@gmail.com
Sk1utVLqifxGBYpQRJhALw,Kathy,329,2010-11-10 04:31:19,4,3.95,kathy32412@gmail.com
sgwhAp5PT4ouEOaMOj6-WQ,Marie,7,2008-02-12 17:39:49,0,3.0,marie32470@gmail.com
RQX52u99jY64X1wRHtZTqw,Cara,156,2012-10-11 13:31:44,13,3.8,cara32563@gmail.com
VEWzJnleYqTOVglmDALEyA,Leslie,106,2012-08-27 17:05:59,18,4.23,leslie32613@gmail.com
xyY1hxN31qKThaYeZWlD3w,Amy,217,2010-03-10 19:56:52,19,4.51,amy32976@gmail.com
RylA6VZUTRuMGBu4nHKbCw,Ben,1204,2009-05-25 21:55:06,86,4.2,ben33125@gmail.com
xhWWh0vawBgU7duKjs84pg,Nicole,90,2011-03-28 03:52:48,2,2.36,nicole33256@gmail.com
wWLyGRoMqUYjViA8OpKQcA,Dana,28,2011-05-07 16:30:00,0,2.56,dana33944@gmail.com
ILH-vtALszvpCW8Q7JYZlw,Loni,57,2011-06-09 16:34:23,3,3.61,loni34001@gmail.com
nDl7vl-_ijTZ4rrH5dxWAQ,Carolyn,168,2010-10-15 14:20:33,8,3.32,carolyn34209@gmail.com
tDu_y53Js6fbbtCnJMkdiA,Precious,180,2010-11-21 05:00:11,21,4.09,precious34430@gmail.com
2i89rpEFc6_dqhdWmXtMaQ,Steve,89,2011-07-31 19:47:52,0,3.5700000000000003,steve34856@gmail.com
2M5nrxf_CBlu-y0lKoqGhQ,Melissa,573,2011-03-12 19:09:45,85,3.85,melissa34871@gmail.com
dLeQWcavoGKfof59f3Y6uQ,April,360,2012-06-29 23:21:17,19,3.93,april34896@gmail.com
Strb-zv7UKWSSirBQZjeWg,Sarah,94,2011-02-28 23:48:09,2,3.87,sarah35001@gmail.com
VigsAph76fP7pechJ743EA,Rachel,828,2010-08-15 07:06:08,163,3.76,rachel35208@gmail.com
udmsyG7J4Hgl954xVL1hjQ,Marichris,49,2012-05-20 20:36:11,0,4.52,marichris35233@gmail.com
aKPd81lLmPA6-igTD42x1A,Adriana,35,2011-12-06 07:29:06,2,3.66,adriana35523@gmail.com
d4FyES3UTBcEQXRUQP6trw,Farrah,47,2009-10-18 03:18:15,3,4.19,farrah35935@gmail.com
kqLtfxR4dLzfJoz4a2Ve4g,Joy,47,2012-07-23 22:40:45,0,3.77,joy36162@gmail.com
opWrSIYGpcgIr7uXiW9r6A,Mary Jane,6,2011-10-28 19:24:12,0,4.33,mary jane36778@gmail.com
lVW0BD_ZkWVGDVwBurcyWg,Monica,114,2010-08-10 19:37:55,10,3.62,monica37076@gmail.com
77PSnX0dV4BD4DbJqCRosg,Jennifer,7,2012-04-03 22:10:30,0,4.43,jennifer37290@gmail.com
VKlMBA6qX6JTXVRR-tTjSg,Daniel,230,2013-01-01 19:33:15,16,3.53,daniel37585@gmail.com
xZLxP_yI5V2XyUET83JLNw,Vicki,81,2011-02-26 18:27:07,0,3.25,vicki37629@gmail.com
w-Dy7B6aZbBImMTVqyYJCA,Happiness,797,2009-05-20 17:21:02,8,3.97,happiness37694@gmail.com
VPWhsz9ZfJQiOWpNMG8oaw,Kimberly,9,2012-10-21 15:41:26,1,4.5600000000000005,kimberly37932@gmail.com
gEXyS6N4fVsHEbNmizcuLw,Jean,95,2010-05-21 22:57:40,2,3.36,jean37973@gmail.com
LHm2W7oK4fDbcsDH7YhOhQ,stefanie,46,2011-11-10 02:04:55,2,3.81,stefanie38138@gmail.com
CDqOUbrt3NFsxWx_WPjo1A,Monica,13,2011-10-22 01:35:10,3,3.86,monica38249@gmail.com
HH_iShiu5ZTaIsAM7C7_NA,Krystal,26,2011-10-13 01:58:26,1,4.5,krystal38308@gmail.com
cFg-I0b9JZRMUPf6os2SxQ,Jess,43,2012-03-05 23:50:46,6,4.04,jess38314@gmail.com
Q8OzhVUYMODxFpnIBvkDyg,Cara,29,2009-07-30 20:42:00,0,4.16,cara38455@gmail.com
_Y2_n7j5qM69NKVbaL5ZnQ,Dawn,11,2011-04-07 02:21:01,0,3.73,dawn38573@gmail.com
0xUnSqeKxI0V5RFZFAkULQ,Tom,25,2011-07-10 23:21:47,0,4.2,tom38621@gmail.com
ckUs1QoWKv1StWkKtio-HQ,Kelly,37,2011-10-26 00:27:27,0,3.89,kelly38815@gmail.com
DCvtETlyx2hlGcyS0Lgdkw,Shannon,65,2010-03-11 21:45:59,1,3.66,shannon39142@gmail.com
41ueo7hfnmXJgAfKtBlDBQ,Julie,46,2012-08-15 01:06:11,1,3.81,julie39305@gmail.com
u_InsIIzL4Z1eP-616c-hQ,Kimberly,66,2010-10-04 12:30:15,1,4.41,kimberly39579@gmail.com
v0076gGs0vRsh0Gk59TY3A,Yo,94,2011-03-20 21:13:45,0,4.79,yo39665@gmail.com
XDk2LP1PXSU0M28hVt8Fkw,Andrea,87,2012-11-10 15:02:24,3,4.47,andrea40126@gmail.com
trcomiufpEqsUkvYJc-X8A,Jessica,21,2013-03-24 13:47:47,0,3.95,jessica40240@gmail.com
VYjcStgOv7siVWdJBOPQug,Sheila,17,2012-06-10 18:46:04,0,3.95,sheila40288@gmail.com
vUwUL5QAsyZaTQHHm6l38A,Elvis,29,2010-06-25 11:24:08,1,2.76,elvis40320@gmail.com
TJ6INQRSe4y3sil8Wkj8oQ,Betty,28,2010-03-22 14:34:37,0,3.68,betty40339@gmail.com
D9kXZONm7sGwLkaCj7WGPw,Valentina,20,2013-02-04 23:49:32,1,3.52,valentina40387@gmail.com
BQ1YuNsWbJlDoqp5pm7WHg,Jeremy,84,2012-06-15 18:09:29,2,4.17,jeremy40421@gmail.com
XLaO5xmki_wxeIO83E-2Xg,Brandie,188,2010-03-25 04:38:55,28,4.52,brandie40423@gmail.com
fg9GZUigxE8dN3spJMKKyw,Robert,180,2012-10-16 21:50:12,4,3.46,robert40424@gmail.com
YruxywEszvlFSVHrYKncug,Terry,51,2012-07-22 22:00:00,2,3.43,terry40555@gmail.com
l64DLoZ3Ysiux1KbF9F3Mg,Stephanie,173,2012-10-10 00:23:49,16,4.37,stephanie40558@gmail.com
dtiS1JkXBiSHJPHsi3c7Rg,Maribel,112,2012-07-07 01:05:06,4,3.51,maribel40780@gmail.com
Wjia69bHEb7xeWMlxWNPGA,Karen,892,2011-07-25 13:32:46,100,3.83,karen40837@gmail.com
8piQvZ-Bx3aIDeFq1w0_bw,Tracy,55,2011-12-05 04:22:49,0,3.5700000000000003,tracy40924@gmail.com
jvqdSM4jVTTR-vJJml3URw,Erika,50,2011-05-13 03:44:48,2,3.9,erika41476@gmail.com
JK4hzpYfQl57cMv-v8sGDA,Annie,290,2010-10-05 17:08:50,20,3.93,annie42099@gmail.com
qSslDLk5La0vWILBxE512w,Annmarie,83,2011-08-27 15:13:50,1,4.02,annmarie42129@gmail.com
BaiM8cGWk_C7-jhTh5QmIw,Ashley,15,2013-07-11 20:35:52,0,3.56,ashley42203@gmail.com
FgMTfTsErY6PprVK0iL6lg,Debbie,14,2013-04-26 00:45:52,0,5.0,debbie42345@gmail.com
AREIIeOcekgd_v1-H74EtQ,Lisa,112,2010-06-20 14:59:57,4,4.17,lisa42876@gmail.com
3fsJlgQljbrllPgWOHrfwQ,Edelyn,173,2014-04-08 21:58:32,11,4.06,edelyn42995@gmail.com
HrAB0lHXXTRz-ukPK2mUKA,J,41,2010-06-11 23:49:42,0,4.47,j43163@gmail.com
ZQ-hVBie3ls9u951cJkgSQ,Mark,465,2017-03-26 21:17:42,23,3.6,mark43200@gmail.com
iHI_qXQ3CVHExqqQenwoxw,Katie,143,2012-05-06 07:44:09,3,3.61,katie43234@gmail.com
vHsj2nqruX1BtD0Rbo-OSA,Jeanna,87,2014-05-07 19:20:24,1,3.88,jeanna43397@gmail.com
G8Bf6SWXE7-nOoNCWCW0tg,Jackson,28,2013-05-13 19:00:18,0,4.69,jackson43401@gmail.com
Pg0u61mVwqfrPHLP19sapQ,Adriana,14,2012-12-29 18:10:33,0,1.71,adriana43508@gmail.com
cpXoRdM1viKUWsJXuheGeA,Stephanie,51,2013-03-02 03:03:20,1,3.44,stephanie43716@gmail.com
m81mX60ILuZiaPWcI1jqHg,Jade,47,2017-07-18 22:07:41,3,3.78,jade43814@gmail.com
R2ztwUadqjgqAGTIXvrZtQ,Jan,411,2013-10-05 19:58:43,7,3.5,jan43838@gmail.com
VdTTDbf9cPQtE69mKBBhdw,Jenny,3,2015-10-23 14:16:23,1,4.67,jenny43905@gmail.com
O3Iu07lQPn2iZ9CVLDSUrw,Jenn,72,2011-10-26 20:57:20,22,4.36,jenn44027@gmail.com
qSnXkWHdZXr8Jj8StbsFBw,Wendy Harding,107,2013-06-25 17:54:19,3,4.5,wendy harding44043@gmail.com
8KZ63BL5yljr4-NmnrOPTg,Danielle,25,2014-03-16 15:58:49,0,3.54,danielle44163@gmail.com
hN7lG3dfUX4-scNNS9XfCw,Katie,29,2013-02-03 19:14:34,1,3.19,katie44177@gmail.com
-4vkTh2rImD8c0-30h2uvw,Denise,224,2012-11-25 17:22:53,8,4.13,denise44405@gmail.com
yFpvshJGSCyPMSNb46Iz-Q,Julia,6,2013-10-01 16:21:06,0,4.33,julia44486@gmail.com
2idS8cD2zvsLnV5A9IImGg,Pam,12,2012-07-14 17:40:20,1,4.08,pam44597@gmail.com
Id615kNOQxerWg0kU9cmfQ,Caity,131,2014-06-26 18:31:19,21,4.24,caity44634@gmail.com
oufZPRPndvU4ePuKxA2qmA,Lori,165,2014-07-18 21:55:27,2,4.39,lori44644@gmail.com
6QGt0MHFQKnDyAqCH-dKyg,Jennifer,9,2012-06-26 06:49:07,0,2.0,jennifer44743@gmail.com
c56oZZbK3bt8vFA8lz4wfQ,Lani,671,2011-05-17 13:46:35,119,4.02,lani44997@gmail.com
Dr_8XKry-YFPX5gKwflS7w,Shannon,81,2017-09-06 02:25:02,4,3.92,shannon45363@gmail.com
wSu3oyNb9zMXriReblLyHg,Maddie,6,2018-03-01 14:14:59,0,4.43,maddie45683@gmail.com
xlgDHPeUl4i_mLy3BY3QFw,Michael,91,2014-12-12 18:24:39,5,4.7,michael45702@gmail.com
T4xIqOpOk7SptTefXExZIw,Karla,134,2013-08-22 15:33:49,6,4.66,karla45761@gmail.com
73Je827FOLcpxjgXcF2B7Q,Melissa,95,2014-10-04 22:47:18,1,3.96,melissa45768@gmail.com
x8HIzvfbDIL9XQMpgxFSHg,Erin,17,2013-11-02 18:44:06,0,3.65,erin45914@gmail.com
8HV62WzuOGfmfsB0o6C8dw,Sara Kate,76,2018-02-24 17:52:43,2,4.41,sara kate46009@gmail.com
c34edcT8O-_plxp7U_2w2A,Mandy,24,2011-09-08 00:41:18,0,3.68,mandy46168@gmail.com
AwGP1zmqNZVnRmYFliCq6Q,Vanessa,387,2014-02-08 19:12:45,42,4.42,vanessa46207@gmail.com
bwe1-cCWErkTH00Fhn96jw,Allie,38,2013-08-18 01:25:22,1,4.0,allie46248@gmail.com
1pR5fCGVpPydBbu94KGi_Q,Malinda,346,2011-12-05 01:03:36,19,4.17,malinda46282@gmail.com
wiZe1lfCtiqTGCeBpsXOLQ,Alissa,18,2018-02-24 02:00:22,0,4.61,alissa46326@gmail.com
bwGMxPE_-aiWg3qEeQ49oA,Molly,31,2015-06-24 03:09:21,0,4.0,molly46434@gmail.com
bAmK1OzZpDkKeN_az63sMw,Ashley,1110,2016-09-14 00:32:19,58,4.41,ashley46470@gmail.com
w4RT7Bxnjg-5Krf14zvdcQ,Tori,6,2017-05-25 16:07:46,0,5.0,tori46616@gmail.com
JU1bmLmcD9hz-xA4cO1pnQ,Perry,114,2015-03-07 23:05:05,1,3.79,perry46722@gmail.com
6CPKfz3hlZIr0Xmpj6-9ng,Bailey,27,2015-04-19 22:53:57,1,2.96,bailey46916@gmail.com
NNWorKN5kn8hHRVleP8Vdg,Ivy,66,2011-03-01 20:40:55,1,3.27,ivy47044@gmail.com
xWEKLTw0NWgHS67oCyVp8g,Caitie,298,2009-10-27 07:00:30,52,4.29,caitie47065@gmail.com
QSIoCtJ1emofP1My3BfmHA,Jisoo,603,2014-01-22 03:53:09,71,4.27,jisoo47239@gmail.com
jDVTMvaSWWhkaxbL-KslgQ,Jonathan,1134,2011-06-01 19:09:51,40,4.63,jonathan47246@gmail.com
k4eDclkPAUAxCMjR0A8Qvw,Lesley,35,2017-01-25 16:02:14,2,4.33,lesley47385@gmail.com
AbZyxCAK6mWlfTj4Pa6exw,Amanda,142,2015-10-23 02:43:46,26,4.28,amanda47466@gmail.com
CjPAo8v2K6GrRypugNssMQ,Ticie,124,2014-07-21 01:13:18,146,3.91,ticie47532@gmail.com
j4aYjO-yBhfLREf_uA6mCg,Erica,23,2010-12-11 20:02:48,0,4.6,erica47610@gmail.com
RAKDzlwZFEQJUwsKSAfZqg,Savannah,18,2015-08-18 02:30:20,0,3.79,savannah47693@gmail.com
84Kz7MIoEqqv9pw9TTF7KA,Jonathan,60,2014-03-21 07:30:38,1,3.85,jonathan47775@gmail.com
2b2J7kW1nTVTtiZtizw-tw,Lauren,874,2012-09-30 00:01:48,49,3.42,lauren47902@gmail.com
6VQZtC97AE3xImIJIJvakA,Dorene,374,2012-08-16 19:06:04,30,3.76,dorene47913@gmail.com
99DjTl5q0bNpitKc31zRhg,Kara,10,2013-01-14 01:39:53,0,3.4,kara48145@gmail.com
TQOK8lzUs0JiSfiANhnDBw,Kristen,43,2016-03-21 17:42:31,0,3.72,kristen49017@gmail.com
uKoKpRMHF91xXXLK1OTspQ,Lora,215,2014-11-07 23:58:38,21,4.31,lora49132@gmail.com
bqoUv4fz0vK-EvTUDxikTw,Megan,15,2014-01-20 17:27:50,0,4.53,megan49134@gmail.com
hLxIRMn_UtDGVG_8Z9qkEQ,Joel,531,2013-07-26 20:52:19,54,4.01,joel49143@gmail.com
